Name	Code	Terminase_Type	Ambiguous	General_Terminase
Phage_21	21	Cos/lambda	y	Cos
Streptococcus_phage_7201	7201	3-cos/HK97	n	Cos
Escherichia_coli_KOEGE_71_(186a)	186a	5-cos/P2	y	Cos
Enterobacteria_phage_933W	933W	headful/933W	n	Headful
Lactobacillus_phage_A2	A2	3-cos/HK97	n	Cos
Listeria_phage_A118	A118	headful/P22	n	Headful
Haemophilus_phage_Aaphi23	Aaphi23	NoGroup	n	NoGroup
Aeromonas_phage_Aeh1	Aeh1	headful/T4	n	Headful
Endosymbiont_phage_APSE-1	APSE-1	headful/Sf6	n	Headful
Pseudomonas_phage_B3	B3	host ends/Mu	n	Mu
Burkholderia_phage_Bcep22	Bcep22	headful/933W	n	Headful
Burkholderia_phage_BcepMu	BCEPMu	host ends/Mu	n	Mu
Bacillus_phage_BCJA1c	BCJA1c	headful/P22	n	Headful
Lactococcus_phage_bIL170	bIL170	3-cos/HK97	n	Cos
Lactococcus_phage_bIL285	bIL285	3-cos/HK97	n	Cos
Lactococcus_phage_bIL67	bIL67	3-cos/HK97	n	Cos
Lactococcus_phage_BK5-T	BK5-T	3-cos/HK97	n	Cos
Lactococcus_phage_c2	c2	3-cos/HK97	n	Cos
Staphylococcus_aureus	cc1	headful/GTA	y	Headful
Escherichia_coli_O157:H7_str._EDL933_prophage_CP-933N	CP-933N	3-cos/HK97	n	Cos
Escherichia_coli_O157:H7_str._EDL933_prophage_CP-933V	CP-933V	3-cos/HK97	n	Cos
Escherichia_coli_O157:H7_str._LSU-61_prophage_CP-933K	CP-993K	Cos/lambda	n	Cos
Mycobacteriophage_D29	D29	3-cos/HK97	n	Cos
Pseudomonas_phage_D3	D3	3-cos/HK97	n	Cos
Pseudomonas_phage_D3112	D3112	headful/D3112	n	Headful
Silicibacter_phage_DSS3phi2	DSS3Phi2	DTR/N4	n	DTR
Escherichia_phage_EC1-UPM	EC1-UPM	DTR/N4	n	DTR
Sulfitobacter_phage_EE36phi1	EE36phi1	DTR/N4	n	DTR
Streptococcus_phage_EJ-1	EJ-1	headful/P22	n	Headful
Enterobacteria_phage_ES18	ES18	headful/Sf6	n	Headful
Salmonella_phage_Fels-1	Fels-1	Cos/lambda	n	Cos
Salmonella_phage_Fels-2	Fels-2	5-cos/P2	n	Cos
Prophage_FluMu	FluMu	host ends/Mu	n	Mu
Salmonella_phage_FSL_SP-058	FSL-SP-058	DTR/N4	n	DTR
Salmonella_phage_FSL_SP-076	FSL-SP-076	DTR/N4	n	DTR
Pseudomonad_phage_gh-1	gh-1	short DTR/T7	n	DTR
Phage_Gifsy-1	Gifsy-1	Cos/lambda	n	Cos
Phage_Gifsy-2	Gifsy-2	Cos/lambda	n	Cos
Enterobacteria_phage_HK022	HK022	3-cos/HK97	n	Cos
Enterobacteria_phage_HK620	HK620	headful/Sf6	n	Headful
Enterobacteria_phage_HK97	HK97	3-cos/HK97	n	Cos
Haemophilus_phage_HP1	HP1	5-cos/P2	n	Cos
Enterobacter_phage_IME11	IME11	DTR/N4	n	DTR
Vibrio_phage_JA-1	JA-1	DTR/N4	n	DTR
Achromobacter_phage_JWAlpha	JWAlpha	DTR/N4	n	DTR
Achromobacter_phage_JWDelta	JWDelta	DTR/N4	n	DTR
Enterobacteria_phage_K1-5	K1-5	short DTR/T7	n	DTR
Vibrio_phage_K139	K139	5-cos/P2	n	Cos
Vibrio_phage_KVP40	KVP40	headful/T4	n	Headful
Mycobacteriophage_L5	L5	3-cos/HK97	n	Cos
Enterobacteria_phage_lambda	Lambda	Cos/lambda	n	Cos
Bacillus_thuringiensis_serovar_pakistani_str._T13001	lambdaBa02	3-cos/HK97	n	Cos
Streptococcus_agalactiae_2603V/R	lambdaSa2	3-cos/HK97	y	Cos
Pseudomonas_phage_LIT1	LIT1	DTR/N4	n	DTR
Lactobacillus_prophage_Lj965	Lj965	headful/P22	n	Headful
Lactobacillus_phage_LL-H	LL-H	headful/P22	n	Headful
Enterobacteria_phage_LP7	LP7	headful/P22	n	Headful
Pseudomonas_phage_LUZ7	LUZ7	DTR/N4	n	DTR
Streptococcus_phage_MM1	MM1	headful/P22	n	Headful
Phage_Mu	Mu	host ends/Mu	n	Mu
Shewanella_baltica_OS625	MuSo1	host ends/Mu	y	Mu
Enterobacteria_phage_N15	N15	Cos/lambda	n	Cos
Escherichia_phage_N4	N4	DTR/N4	n	DTR
Prochlorococcus_phage_P-SSM4	P-SSM4	headful/T4	y	Headful
Lactococcus_phage_P008	P008	3-cos/HK97	n	Cos
Enterobacteria_phage_P2	P2	5-cos/P2	n	Cos
Enterobacteria_phage_P22	P22	headful/P22	n	Headful
Pseudomonas_phage_PA26	PA26	DTR/N4	n	DTR
Sinorhizobium_phage_PBC5	PBC5	headful/933W	n	Headful
Burkholderia_phage_phi1026b	phi1026b	3-cos/HK97	n	Cos
Bacillus_phage_phi105	phi105	3-cos/HK97	n	Cos
