protein_cluster	tg
pvp1000	terminase1
pvp1000	terminase13
pvp1000	terminase18
pvp1000	terminase24
pvp1000	terminase25
pvp1000	terminase5
pvp1000	terminase6
pvp1000	terminase9
pvp1001	terminase13
pvp1001	terminase14
pvp1001	terminase15
pvp1001	terminase18
pvp1001	terminase2
pvp1001	terminase22
pvp1001	terminase24
pvp1001	terminase25
pvp1001	terminase3
pvp1001	terminase39
pvp1001	terminase4
pvp1001	terminase44
pvp1001	terminase5
pvp1001	terminase6
pvp1001	terminase7
pvp1001	terminase8
pvp1001	terminase9
pvp1002	terminase1
pvp1002	terminase11
pvp1002	terminase13
pvp1002	terminase14
pvp1002	terminase15
pvp1002	terminase16
pvp1002	terminase3
pvp1002	terminase31
pvp1002	terminase38
pvp1002	terminase6
pvp1002	terminase7
pvp1003	terminase1
pvp1003	terminase13
pvp1003	terminase14
pvp1003	terminase16
pvp1003	terminase22
pvp1003	terminase24
pvp1003	terminase25
pvp1003	terminase3
pvp1003	terminase5
pvp1003	terminase6
pvp1003	terminase7
pvp1003	terminase8
pvp1004	terminase1
pvp1004	terminase13
pvp1004	terminase14
pvp1004	terminase16
pvp1004	terminase18
pvp1004	terminase3
pvp1004	terminase5
pvp1004	terminase7
pvp1004	terminase8
pvp1004	terminase9
pvp1005	terminase13
pvp1005	terminase16
pvp1005	terminase18
pvp1005	terminase22
pvp1005	terminase24
pvp1005	terminase25
pvp1005	terminase28
pvp1005	terminase29
pvp1005	terminase3
pvp1005	terminase5
pvp1005	terminase6
pvp1005	terminase7
pvp1005	terminase8
pvp1005	terminase9
pvp1006	terminase13
pvp1006	terminase18
pvp1006	terminase24
pvp1006	terminase25
pvp1006	terminase5
pvp1006	terminase6
pvp1006	terminase9
pvp1007	terminase1
pvp1007	terminase23
pvp1007	terminase26
pvp1007	terminase29
pvp1007	terminase3
pvp1008	terminase11
pvp1008	terminase13
pvp1008	terminase14
pvp1008	terminase18
pvp1008	terminase2
pvp1008	terminase24
pvp1008	terminase3
pvp1008	terminase31
pvp1008	terminase39
pvp1008	terminase44
pvp1008	terminase5
pvp1008	terminase6
pvp1008	terminase7
pvp1008	terminase8
pvp1008	terminase9
pvp1009	terminase1
pvp1009	terminase23
pvp1009	terminase26
pvp1009	terminase3
pvp1010	terminase1
pvp1010	terminase23
pvp1010	terminase26
pvp1011	terminase1
pvp1011	terminase16
pvp1011	terminase22
pvp1011	terminase24
pvp1011	terminase25
pvp1011	terminase5
pvp1011	terminase8
pvp1012	terminase1
pvp1012	terminase11
pvp1012	terminase13
pvp1012	terminase16
pvp1012	terminase2
pvp1012	terminase24
pvp1012	terminase25
pvp1012	terminase3
pvp1012	terminase34
pvp1012	terminase44
pvp1012	terminase5
pvp1012	terminase6
pvp1012	terminase7
pvp1012	terminase8
pvp1013	terminase13
pvp1013	terminase18
pvp1013	terminase24
pvp1013	terminase25
pvp1013	terminase5
pvp1013	terminase9
pvp1014	terminase13
pvp1014	terminase14
pvp1014	terminase16
pvp1014	terminase18
pvp1014	terminase2
pvp1014	terminase24
pvp1014	terminase25
pvp1014	terminase5
pvp1014	terminase6
pvp1014	terminase7
pvp1014	terminase9
pvp1015	terminase13
pvp1015	terminase18
pvp1015	terminase24
pvp1015	terminase25
pvp1015	terminase5
pvp1015	terminase9
pvp1016	terminase1
pvp1016	terminase7
pvp1016	terminase8
pvp1017	terminase1
pvp1017	terminase14
pvp1017	terminase3
pvp1017	terminase7
pvp1018	terminase13
pvp1018	terminase16
pvp1018	terminase18
pvp1018	terminase2
pvp1018	terminase22
pvp1018	terminase24
pvp1018	terminase44
pvp1018	terminase5
pvp1018	terminase9
pvp1019	terminase1
pvp1019	terminase16
pvp1019	terminase3
pvp1020	terminase1
pvp1020	terminase11
pvp1020	terminase13
pvp1020	terminase14
pvp1020	terminase15
pvp1020	terminase18
pvp1020	terminase2
pvp1020	terminase24
pvp1020	terminase25
pvp1020	terminase28
pvp1020	terminase31
pvp1020	terminase44
pvp1020	terminase5
pvp1020	terminase7
pvp1020	terminase9
pvp1021	terminase1
pvp1021	terminase6
pvp1022	terminase1
pvp1022	terminase5
pvp1023	terminase13
pvp1023	terminase28
pvp1023	terminase3
pvp1023	terminase5
pvp1023	terminase6
pvp1023	terminase7
pvp1023	terminase8
pvp1024	terminase14
pvp1024	terminase22
pvp1024	terminase3
pvp1024	terminase7
pvp1024	terminase8
pvp1025	terminase1
pvp1026	terminase1
pvp1027	terminase16
pvp1027	terminase22
pvp1027	terminase24
pvp1027	terminase25
pvp1027	terminase5
pvp1027	terminase7
pvp1028	terminase1
pvp1029	terminase1
pvp1030	terminase1
pvp1031	terminase1
pvp1032	terminase1
pvp1033	terminase1
pvp1034	terminase1
pvp1035	terminase1
pvp1036	terminase1
pvp1037	terminase1
pvp1038	terminase1
pvp1039	terminase1
pvp1040	terminase1
pvp1041	terminase1
pvp1042	terminase1
pvp1043	terminase1
pvp1044	terminase1
pvp1045	terminase1
pvp1046	terminase1
pvp1047	terminase1
pvp1048	terminase1
pvp1049	terminase1
pvp1050	terminase1
pvp1051	terminase1
pvp1052	terminase1
pvp1053	terminase1
pvp1053	terminase15
pvp1054	terminase1
pvp1055	terminase1
pvp1056	terminase1
pvp1057	terminase1
pvp1058	terminase1
pvp1058	terminase14
pvp1058	terminase15
pvp1058	terminase23
pvp1058	terminase3
pvp1059	terminase1
pvp1060	terminase1
pvp1061	terminase1
pvp1062	terminase1
pvp1063	terminase1
pvp1064	terminase1
pvp1064	terminase16
pvp1064	terminase22
pvp1064	terminase24
pvp1064	terminase3
pvp1064	terminase5
pvp1064	terminase6
pvp1064	terminase7
pvp1064	terminase8
pvp1064	terminase9
pvp1065	terminase13
pvp1065	terminase18
pvp1065	terminase24
pvp1065	terminase25
pvp1065	terminase29
pvp1065	terminase5
pvp1065	terminase9
pvp1066	terminase13
pvp1066	terminase16
pvp1066	terminase18
pvp1066	terminase22
pvp1066	terminase24
pvp1066	terminase25
pvp1066	terminase44
pvp1066	terminase5
pvp1066	terminase8
pvp1066	terminase9
pvp1067	terminase1
pvp1068	terminase1
pvp1069	terminase1
pvp1069	terminase11
pvp1069	terminase31
pvp1069	terminase6
pvp1070	terminase13
pvp1070	terminase18
pvp1070	terminase3
pvp1070	terminase44
pvp1070	terminase5
pvp1070	terminase9
pvp1071	terminase1
pvp1071	terminase6
pvp1072	terminase1
pvp1072	terminase13
pvp1072	terminase14
pvp1072	terminase16
pvp1072	terminase24
pvp1072	terminase25
pvp1072	terminase3
pvp1072	terminase38
pvp1072	terminase44
pvp1072	terminase5
pvp1072	terminase6
pvp1072	terminase7
pvp1072	terminase8
pvp1073	terminase1
pvp1073	terminase13
pvp1073	terminase14
pvp1073	terminase24
pvp1073	terminase25
pvp1073	terminase3
pvp1073	terminase5
pvp1073	terminase6
pvp1073	terminase7
pvp1073	terminase8
pvp1074	terminase13
pvp1074	terminase18
pvp1074	terminase24
pvp1074	terminase25
pvp1074	terminase5
pvp1074	terminase9
pvp1075	terminase13
pvp1075	terminase18
pvp1075	terminase24
pvp1075	terminase25
pvp1075	terminase5
pvp1075	terminase9
