terminase_cat	npmems
terminase48	0
terminase43	0
terminase32	1
terminase50	0
terminase33	4
terminase18	8
terminase19	0
terminase30	0
terminase31	4
terminase36	0
terminase37	0
terminase34	4
terminase35	0
terminase10	1
terminase11	13
terminase12	9
terminase13	11
terminase14	8
terminase15	4
terminase16	10
terminase17	1
terminase8	9
terminase9	15
terminase2	15
terminase3	21
terminase1	45
terminase6	8
terminase7	16
terminase4	2
terminase5	13
terminase42	0
terminase38	3
terminase39	3
terminase49	0
terminase47	0
terminase46	0
terminase45	0
terminase44	2
terminase29	3
terminase28	2
terminase41	0
terminase40	0
terminase25	5
terminase24	6
terminase27	0
terminase26	5
terminase21	0
terminase20	0
terminase23	7
terminase22	5
