KK Phage Name	Organism	NCBI Accession	NCBI GI	Description
186	Enterobacteria phage 186	AAC34148.1	3337256	 terminase subunit 
7201	Streptococcus phage 7201	NP_038323.1	9634649	 ORF22 
0305phi8-36	Bacillus phage 0305phi8-36	YP_001429607.1	156564098	 terminase large subunit 
1102phi1-3	Bacillus phage 1102phi1-3	AAS45252.1	42742386	 large terminase 
933W	Enterobacteria phage 933W	NP_049511.1	9632517	 putative large subunit terminase 
9g	Enterobacteria phage 9g	YP_009032373.1	640885123	 terminase large subunit 
9NA	Salmonella phage 9NA	YP_009101181.1	712913967	 large terminase subunit 
Tum2	Agrobacterium fabrum str. C58	AAK86757.2	159139855	 large terminase phage packaging protein 
A118	Listeria phage A118	NP_463463.1	16798785	 putative terminase large subunit 
A2	Lactobacillus phage A2	NP_680484.1	22296524	 putative large terminase subunit 
A500	Listeria phage A500	YP_001468388.1	157324962	 TerL 
A511	Listeria phage A511	YP_001468454.1	157325029	 gp74 
Aaphi23	Haemophilus phage Aaphi23	NP_852753.1	31544028	 putative terminase large subunit TerL 
Aeh1	Aeromonas phage Aeh1	NP_944105.1	38640149	 gp17 terminase DNA packaging enzyme large subunit 
APSE-1	Endosymbiont phage APSE-1	NP_050979.1	9633565	 P18 
Bruc1	Brucella melitensis bv. 1 str. 16M	AAL52531.1	17983344	 phage DNA packaging protein 
B3	Pseudomonas phage B3	YP_164067.1	56692599	 large terminase subunit 
Bastille	Bacillus phage Bastille	YP_006907293.1	410492107	 large terminase subunit 
Bcep22	Burkholderia phage Bcep22	NP_944278.1	38640355	 Bcep22gp49 
BcepMu	Burkholderia phage BcepMu	YP_024701.1	48696938	 gp28 
BCJA1c	Bacillus phage BCJA1c	YP_164412.1	56694902	 terminase large subunit 
bIL170	Lactococcus phage bIL170	NP_047115.1	9630568	 putative terminase subunit 
bIL285	Lactococcus phage bIL285	NP_076613.1	13095721	 terminase 
bIL67	Lactococcus phage bIL67	AAA74327.1	522258	 terminase subunit 
BK5-T	Lactococcus phage BK5-T	NP_116494.1	14251127	 putative large terminase subunit 
BP-4795	Enterobacteria phage BP-4795	CAD88856.1	49523638	 putative large subunit terminase 
cc1	Caulobacter crescentus CB15	NP_421586.1	16127022	 hypothetical protein CC_2790 
c2	Lactococcus phage c2	NP_043560.1	9628694	 terminase 
Chi	Salmonella phage Chi	YP_009101107.1	712913881	 TerL 
Clo2	Clostridium acetobutylicum ATCC 824	NP_348518.1	15895169	 phage terminase-like protein large subunit 
CP-933K	Escherichia coli O157:H7 str. EDL933	AAG55120.1	12513729	AE005256_11 putative DNA packaging protein of prophage CP-933K 
CP-933N	Escherichia coli O157:H7 str. EDL933	AAG55903.1	12514716	AE005324_6 putative terminase encoded by prophage CP-933N 
CP-933P	Escherichia coli O157:H7 str. EDL933	AAK16961.1	13259591	AE006459_12 putative terminase subunit encoded by cryptic prophage CP-933P 
CP-933V	Escherichia coli O157:H7 str. EDL933	AAG57217.1	12516381	AE005441_13 unknown protein encoded within prophage CP-933V 
