"SUID","__mcodeCluster","bray_clusters_eps0.9","Column 2","Column 3","Column 4","cov_category","euclidean_clusters_eps15","eval","family","illumina_genome_len","kk_grp","min_host_similarity","name","nucleotide_level_divs","num_hosts","order","selected","shared name","term_blast_ld","term_blast_sd","term_clust","term_ortho_ld","term_ortho_sd"
"177137",,,"terminase49","Cos","3-cos/HK97",,,,,,,,"phiC31",,,,"false","phiC31",,,,,
"177135","34",,"terminase41","Cos","3-cos/HK97",,,,,,,,"VWB",,,,"false","VWB",,,,,
"175995","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"Flex5",,,,"false","Flex5",,,,,
"176001","14",,"terminase20","Cos","3-cos/HK97",,,,,,,,"A2",,,,"false","A2",,,,,
"176003","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"PP04",,,,"false","PP04",,,,,
"176395",,,"terminase20","Cos","3-cos/HK97",,,,,,,,"BK5-T",,,,"false","BK5-T",,,,,
"177292",,,"terminase49","Cos","3-cos/HK97",,,,,,,,"phi-BT1",,,,"false","phi-BT1",,,,,
"175772","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"D3",,,,"false","D3",,,,,
"175775","23",,"terminase35","Cos","3-cos/HK97",,,,,,,,"LambdaSo",,,,"false","LambdaSo",,,,,
"175781","23",,"terminase20","Cos","3-cos/HK97",,,,,,,,"phi-13",,,,"false","phi-13",,,,,
"175779","13",,"terminase35","Cos","3-cos/HK97",,,,,,,,"PP01",,,,"false","PP01",,,,,
"175785",,,"terminase45","Cos","3-cos/HK97",,,,,,,,"c2",,,,"false","c2",,,,,
"175783","23",,"terminase20","Cos","3-cos/HK97",,,,,,,,"PVL",,,,"false","PVL",,,,,
"175787",,,"terminase45","Cos","3-cos/HK97",,,,,,,,"bIL67",,,,"false","bIL67",,,,,
"176194","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"ST64B",,,,"false","ST64B",,,,,
"176191","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"phiE125",,,,"false","phiE125",,,,,
"176198","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"P27",,,,"false","P27",,,,,
"176196","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"SfV",,,,"false","SfV",,,,,
"170185","14","2","terminase23","NoRep","NoRep","cos_pattern","2","2.0E-57","Myoviridae","47053","14","99.624434239562","1.066.O.","2","6","Caudovirales","false","1.066.O.","3-cos/HK97","Cos","terminase23","NA","NA"
"176455",,,"terminase20","Cos","3-cos/HK97",,,,,,,,"7201",,,,"false","7201",,,,,
"170184","14","2","terminase23","NoRep","NoRep","multiple_coverage_peaks","2","2.0E-57","Myoviridae","42511","14","99.624434239562","1.004.O.","2","5","Caudovirales","false","1.004.O.","3-cos/HK97","Cos","terminase23","NA","NA"
"170189","14","2","terminase23","NoRep","NoRep","cos_pattern","2","2.0E-57","Myoviridae","43788","14","99.624434239562","1.072.O.","2","6","Caudovirales","false","1.072.O.","3-cos/HK97","Cos","terminase23","NA","NA"
"170187","14","2","terminase23","NoRep","NoRep","cos_pattern","2","2.0E-57","Myoviridae","47038","14","99.624434239562","1.068.O.","2","6","Caudovirales","false","1.068.O.","3-cos/HK97","Cos","terminase23","NA","NA"
"176209","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"List-I6",,,,"false","List-I6",,,,,
"170194","14","2","terminase23","NoRep","NoRep","cos_pattern","2","2.0E-57","Myoviridae","47054","14","85.0082782911148","1.056.O.","2","7","Caudovirales","false","1.056.O.","3-cos/HK97","Cos","terminase23","NA","NA"
"170192","14","2","terminase23","NoRep","NoRep","cos_pattern","2","2.0E-57","Myoviridae","43111","14","85.0082782911148","1.037.O.","2","6","Caudovirales","false","1.037.O.","3-cos/HK97","Cos","terminase23","NA","NA"
"176213","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"bIL285",,,,"false","bIL285",,,,,
"170198","14","41","terminase4","Cos","3-cos/HK97","cos_pattern","34","6.0E-65","Myoviridae","101637","3","92.7816864394229","2.058.O.","177","5","Caudovirales","false","2.058.O.","5-cos/P2","Cos","terminase4","3-cos/HK97","Cos"
"176342","23",,"terminase20","Cos","3-cos/HK97",,,,,,,,"Sfi21",,,,"false","Sfi21",,,,,
"170196","14","2","terminase23","NoRep","NoRep","shifts_in_coverage","2","4.0E-58","Myoviridae","45020","14","100.0","2.044.O.","176","1","Caudovirales","false","2.044.O.","3-cos/HK97","Cos","terminase23","NA","NA"
"176340",,,"terminase37","Cos","3-cos/HK97",,,,,,,,"LambdaSa2",,,,"false","LambdaSa2",,,,,
"170202","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"lambdaBa02",,,,"false","lambdaBa02",,,,,
"170200","14","41","terminase4","Cos","3-cos/HK97","cos_pattern","34","1.0E-64","Myoviridae","101642","3","75.1606785764358","3.058.O.","177","8","Caudovirales","false","3.058.O.","5-cos/P2","Cos","terminase4","3-cos/HK97","Cos"
"176344","23",,"terminase20","Cos","3-cos/HK97",,,,,,,,"Sfi19",,,,"false","Sfi19",,,,,
"176349","32",,"terminase37","Cos","3-cos/HK97",,,,,,,,"P008",,,,"false","P008",,,,,
"176093","19",,"terminase30","Cos","3-cos/HK97",,,,,,,,"CP-933P",,,,"false","CP-933P",,,,,
"170206","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"phi3626",,,,"false","phi3626",,,,,
"176347",,,"terminase20","Cos","3-cos/HK97",,,,,,,,"phi-adh",,,,"false","phi-adh",,,,,
"176091","19",,"terminase30","Cos","3-cos/HK97",,,,,,,,"BP-4795",,,,"false","BP-4795",,,,,
"170204","14",,"terminase4","Cos","3-cos/HK97",,,,,,,,"Clo2",,,,"false","Clo2",,,,,
"176353","32",,"terminase37","Cos","3-cos/HK97",,,,,,,,"bIL170",,,,"false","bIL170",,,,,
"176097","19",,"terminase30","Cos","3-cos/HK97",,,,,,,,"CP-933V",,,,"false","CP-933V",,,,,
"170210","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"phi-Sa2MW",,,,"false","phi-Sa2MW",,,,,
"176351","32",,"terminase37","Cos","3-cos/HK97",,,,,,,,"sk1",,,,"false","sk1",,,,,
"176095","19",,"terminase30","Cos","3-cos/HK97",,,,,,,,"CP-933N",,,,"false","CP-933N",,,,,
"170208","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"phiSLT",,,,"false","phiSLT",,,,,
"176101","19",,"terminase30","Cos","3-cos/HK97",,,,,,,,"Meso2",,,,"false","Meso2",,,,,
"170214","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"phi-105",,,,"false","phi-105",,,,,
"176099","19",,"terminase30","Cos","3-cos/HK97",,,,,,,,"Xp10",,,,"false","Xp10",,,,,
"170212","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"phiKO2",,,,"false","phiKO2",,,,,
"176105",,,"terminase35","Cos","3-cos/HK97",,,,,,,,"HK022",,,,"false","HK022",,,,,
"170218","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"PY54",,,,"false","PY54",,,,,
"170216","13",,"terminase4","Cos","3-cos/HK97",,,,,,,,"phi1026b",,,,"false","phi1026b",,,,,
"177133","34",,"terminase41","Cos","3-cos/HK97",,,,,,,,"L5",,,,"false","L5",,,,,
"176107",,,"terminase35","Cos","3-cos/HK97",,,,,,,,"HK97",,,,"false","HK97",,,,,
"177131","34",,"terminase41","Cos","3-cos/HK97",,,,,,,,"D29",,,,"false","D29",,,,,
