"SUID","__mcodeCluster","bray_clusters_eps0.9","Column 2","Column 3","Column 4","cov_category","euclidean_clusters_eps15","eval","family","illumina_genome_len","kk_grp","min_host_similarity","name","nucleotide_level_divs","num_hosts","order","selected","shared name","term_blast_ld","term_blast_sd","term_clust","term_ortho_ld","term_ortho_sd"
"170226","21",,"terminase8","NoRep","NoRep",,,,,,,,"ZF40",,,,"false","ZF40",,,,,
"170224","10","9","terminase8","NoRep","NoRep","shifts_in_coverage","10","2.0E-40","Myoviridae","49567","1","100.0","1.038.O.","27","1","Caudovirales","false","1.038.O.","NoGroup","NoGroup","terminase8","NA","NA"
"170230","10","7","terminase8","NoRep","NoRep","long_internal_peak","8","7.0E-36","Myoviridae","43896","9","75.6841958167836","1.247.A.","152","2","Caudovirales","false","1.247.A.","NoGroup","NoGroup","terminase8","NA","NA"
"170228","21","21","terminase8","NoRep","NoRep","shifts_in_coverage","21","6.0E-31","Myoviridae","47914","9","100.0","1.076.O.","45","1","Caudovirales","false","1.076.O.","NoGroup","NoGroup","terminase8","NA","NA"
"170234","10","7","terminase8","NoRep","NoRep","shifts_in_coverage","8","1.0E-35","Myoviridae","44523","9","100.0","1.122.A.","74","1","Caudovirales","false","1.122.A.","NoGroup","NoGroup","terminase8","NA","NA"
"170232","10","7","terminase8","NoRep","NoRep","long_internal_peak","8","7.0E-36","Myoviridae","43896","9","75.6841958167836","1.247.B.","152","2","Caudovirales","false","1.247.B.","NoGroup","NoGroup","terminase8","NA","NA"
"170238","21","17","terminase8","NoRep","NoRep","cos_pattern","6","3.0E-28","Myoviridae","37136","1","100.0","1.154.O.","90","1","Caudovirales","false","1.154.O.","NoGroup","NoGroup","terminase8","NA","NA"
"170236","10","7","terminase8","NoRep","NoRep","long_internal_peak","8","1.0E-35","Myoviridae","44523","9","100.0","1.122.B.","74","1","Caudovirales","false","1.122.B.","NoGroup","NoGroup","terminase8","NA","NA"
"170242","21",,"terminase8","NoRep","NoRep",,,,,,,,"T1",,,,"false","T1",,,,,
"170240","21",,"terminase8","NoRep","NoRep",,,,,,,,"phiEt88",,,,"false","phiEt88",,,,,
"172038","29","28","terminase33","NoRep","NoRep","short_internal_peak","26","9.0E-24","NA","32510","11","95.3592923185752","1.138.O.","84","3","NA","false","1.138.O.","headful/933W","Headful","terminase33","NA","NA"
"170246","10","34","terminase39","NoRep","NoRep","short_internal_peak","6","3.0E-15","Podoviridae","37169","9","100.0","1.211.A.","130","1","Caudovirales","false","1.211.A.","headful/933W","Headful","terminase39","NA","NA"
"170244","10","34","terminase39","NoRep","NoRep","short_internal_peak","6","1.0E-14","Podoviridae","37411","9","100.0","1.183.O.","111","1","Caudovirales","false","1.183.O.","headful/933W","Headful","terminase39","NA","NA"
"172042","29","28","terminase33","NoRep","NoRep","short_internal_peak","26","1.0E-20","Bacteriophage PA11","31498","11","100.0","1.179.O.","108","1","unclassified dsDNA phages","false","1.179.O.","headful/933W","Headful","terminase33","NA","NA"
