phage	term_clust
1.262.O.	terminase32
1.138.O.	terminase33
1.257.O.	terminase33
1.179.O.	terminase33
1.254.O.	terminase33
1.085.O.	terminase18
1.172.O.	terminase18
1.176.O.	terminase18
1.134.O.	terminase18
1.116.O.	terminase18
1.189.O.	terminase18
1.189.C.	terminase18
1.189.B.	terminase18
1.021.B.	terminase31
1.021.C.	terminase31
1.185.O.	terminase31
1.021.A.	terminase31
1.155.O.	terminase34
1.259.O.	terminase34
1.190.O.	terminase34
1.166.O.	terminase34
1.204.O.	terminase10
1.034.O.	terminase11
1.139.A.	terminase11
1.139.B.	terminase11
1.209.O.	terminase11
1.034.X.	terminase11
1.070.O.	terminase11
1.077.O.	terminase11
1.264.O.	terminase11
1.015.O.	terminase11
1.235.O.	terminase11
1.253.O.	terminase11
1.208.B.	terminase11
1.293.O.	terminase11
1.028.O.	terminase12
1.219.O.	terminase12
1.217.O.	terminase12
2.159.B.	terminase12
2.159.A.	terminase12
1.159.O.	terminase12
1.136.O.	terminase12
1.156.O.	terminase12
1.142.O.	terminase12
1.060.A.	terminase13
1.151.O.	terminase13
1.064.O.	terminase13
1.115.B.	terminase13
1.165.O.	terminase13
1.115.A.	terminase13
1.108.O.	terminase13
1.148.O.	terminase13
1.147.O.	terminase13
1.162.O.	terminase13
1.131.O.	terminase13
1.063.O.	terminase14
1.121.O.	terminase14
1.101.O.	terminase14
1.170.O.	terminase14
1.193.O.	terminase14
1.187.O.	terminase14
1.084.O.	terminase14
1.161.O.	terminase14
1.081.O.	terminase15
2.275.O.	terminase15
1.255.O.	terminase15
1.244.A.	terminase15
1.003.O.	terminase16
1.039.O.	terminase16
1.091.O.	terminase16
1.079.O.	terminase16
1.090.B.	terminase16
12G01.O.	terminase16
1.036.O.	terminase16
1.061.O.	terminase16
1.067.O.	terminase16
1.275.O.	terminase16
1.202.O.	terminase17
1.029.O.	terminase8
1.054.O.	terminase8
1.038.O.	terminase8
1.076.O.	terminase8
1.247.A.	terminase8
1.247.B.	terminase8
1.122.A.	terminase8
1.122.B.	terminase8
1.154.O.	terminase8
1.074.O.	terminase9
1.266.O.	terminase9
1.133.O.	terminase9
1.132.O.	terminase9
1.168.O.	terminase9
1.167.O.	terminase9
1.226.O.	terminase9
1.242.O.	terminase9
1.082.O.	terminase9
1.240.O.	terminase9
1.233.B.	terminase9
1.233.A.	terminase9
1.206.O.	terminase9
1.157.O.	terminase9
1.228.O.	terminase9
1.025.O.	terminase2
1.152.O.	terminase2
2.130.O.	terminase2
1.150.O.	terminase2
1.026.O.	terminase2
1.097.O.	terminase2
1.245.O.	terminase2
1.238.A.	terminase2
1.238.B.	terminase2
1.169.O.	terminase2
1.261.O.	terminase2
1.224.A.	terminase2
1.188.C.	terminase2
1.188.B.	terminase2
1.188.A.	terminase2
1.009.O.	terminase3
1.030.O.	terminase3
1.225.O.	terminase3
1.181.O.	terminase3
1.086.O.	terminase3
1.191.O.	terminase3
