"SUID","__mcodeCluster","bray_clusters_eps0.9","Column 2","Column 3","Column 4","cov_category","euclidean_clusters_eps15","eval","family","illumina_genome_len","kk_grp","min_host_similarity","name","nucleotide_level_divs","num_hosts","order","selected","shared name","term_blast_ld","term_blast_sd","term_clust","term_ortho_ld","term_ortho_sd"
"170546","2","12","terminase2","DTR","DTR/N4","NA","13",,"Podoviridae","75797","5","99.0579725945915","1.025.O.","17","6","Caudovirales","false","1.025.O.","DTR/N4","DTR","terminase2","DTR/N4","DTR"
"170608","2","32","terminase2","DTR","DTR/N4","short_internal_peak","27",,"Podoviridae","72305","5","95.7280140279298","1.188.A.","101","4","Caudovirales","false","1.188.A.","NA","NA","terminase2","DTR/N4","DTR"
"170549","2","12","terminase2","DTR","DTR/N4","short_internal_peak","13",,"Podoviridae","75797","5","99.0579725945915","2.130.O.","17","6","Caudovirales","false","2.130.O.","DTR/N4","DTR","terminase2","DTR/N4","DTR"
"170547","2","12","terminase2","DTR","DTR/N4","short_internal_peak","13",,"Podoviridae","75798","5","99.0579725945915","1.152.O.","17","6","Caudovirales","false","1.152.O.","DTR/N4","DTR","terminase2","DTR/N4","DTR"
"170554","2","12","terminase2","DTR","DTR/N4","short_internal_peak","13",,"Podoviridae","75880","5","99.0579725945915","1.026.O.","17","6","Caudovirales","false","1.026.O.","DTR/N4","DTR","terminase2","DTR/N4","DTR"
"170551","2","12","terminase2","DTR","DTR/N4","short_internal_peak","13",,"Podoviridae","75796","5","99.0579725945915","1.150.O.","17","6","Caudovirales","false","1.150.O.","DTR/N4","DTR","terminase2","DTR/N4","DTR"
"170558","2",,"terminase2","DTR","DTR/N4",,,,,,,,"VBP32",,,,"false","VBP32",,,,,
"170556","2","12","terminase2","DTR","DTR/N4","shifts_in_coverage","0",,"Podoviridae","76918","5","100.0","1.097.O.","57","1","Caudovirales","false","1.097.O.","DTR/N4","DTR","terminase2","DTR/N4","DTR"
"170562","2",,"terminase2","DTR","DTR/N4",,,,,,,,"LIT1",,,,"false","LIT1",,,,,
"170560","2",,"terminase2","DTR","DTR/N4",,,,,,,,"pYD6-A",,,,"false","pYD6-A",,,,,
"170566","2",,"terminase2","DTR","DTR/N4",,,,,,,,"FSL-SP-058",,,,"false","FSL-SP-058",,,,,
"170564","2",,"terminase2","DTR","DTR/N4",,,,,,,,"LUZ7",,,,"false","LUZ7",,,,,
"170570","2",,"terminase2","DTR","DTR/N4",,,,,,,,"N4",,,,"false","N4",,,,,
