query	target	pct_id	aln_len
1.021.B.	1.021.C.	100.0	506
1.021.B.	1.021.B.	100.0	506
1.021.B.	1.021.A.	100.0	506
1.021.B.	1.185.O.	99.0	506
1.021.B.	epsilon15	41.2	480
1.021.A.	1.021.C.	100.0	506
1.021.A.	1.021.B.	100.0	506
1.021.A.	1.021.A.	100.0	506
1.021.A.	1.185.O.	99.0	506
1.021.A.	epsilon15	41.2	480
1.021.C.	1.021.C.	100.0	506
1.021.C.	1.021.B.	100.0	506
1.021.C.	1.021.A.	100.0	506
1.021.C.	1.185.O.	99.0	506
1.021.C.	epsilon15	41.2	480
1.028.O.	1.219.O.	100.0	531
1.028.O.	1.217.O.	100.0	531
1.028.O.	2.159.B.	100.0	531
1.028.O.	2.159.A.	100.0	531
1.028.O.	1.159.O.	100.0	531
1.028.O.	1.136.O.	100.0	531
1.028.O.	1.028.O.	100.0	531
1.028.O.	1.156.O.	100.0	531
1.028.O.	1.142.O.	100.0	531
1.028.O.	MuSo1	58.8	522
1.028.O.	FluMu	59.0	510
1.028.O.	Mu	48.9	515
1.028.O.	BcepMu	51.8	469
1.028.O.	RadMu	31.8	471
1.031.O.	1.031.O.	100.0	653
1.031.O.	1.215.B.	28.9	591
1.031.O.	1.215.A.	28.9	591
1.007.O.	1.007.O.	100.0	493
1.007.O.	1.263.B.	98.8	493
1.007.O.	1.263.A.	98.8	493
1.007.O.	1.256.O.	98.4	493
1.007.O.	1.278.O.	98.2	493
1.007.O.	1.186.O.	98.4	493
1.007.O.	1.106.O.	98.0	493
1.007.O.	1.286.O.	98.4	493
1.007.O.	1.199.A.	86.0	493
1.007.O.	1.199.B.	86.0	493
1.007.O.	1.105.O.	85.8	493
1.007.O.	1.173.O.	85.4	493
1.007.O.	1.248.O.	85.6	493
1.007.O.	1.243.O.	85.4	493
1.007.O.	1.149.O.	76.6	492
1.007.O.	1.273.O.	76.4	492
1.007.O.	1.123.O.	36.4	470
1.007.O.	phiFlu	38.8	418
1.007.O.	1.013.O.	31.1	488
1.007.O.	1.214.O.	31.1	488
1.007.O.	APSE-1	30.8	464
1.007.O.	MSW-3	33.6	292
1.007.O.	ES18	29.1	268
1.007.O.	NF5	27.1	218
1.003.O.	1.003.O.	100.0	561
1.003.O.	1.039.O.	99.6	561
1.003.O.	1.091.O.	99.6	561
1.003.O.	1.079.O.	99.6	561
1.003.O.	1.090.B.	99.5	561
1.003.O.	12G01.O.	99.5	561
1.003.O.	1.036.O.	99.5	561
1.003.O.	1.061.O.	99.5	561
1.003.O.	1.067.O.	99.5	561
1.003.O.	1.275.O.	57.4	545
1.003.O.	APSE-1	31.4	487
1.003.O.	Sf6	32.3	498
1.003.O.	HK620	32.3	498
1.003.O.	1.214.O.	29.2	487
1.003.O.	1.013.O.	29.2	487
1.003.O.	1.210.O.	28.5	499
1.003.O.	E1	28.3	343
1.003.O.	1.239.O.	24.5	466
1.003.O.	1.052.A.	25.7	315
1.016.O.	1.071.A.	100.0	471
1.016.O.	1.016.O.	100.0	471
1.016.O.	1.042.O.	98.3	471
1.016.O.	1.112.O.	98.7	453
1.016.O.	E1	45.5	466
1.016.O.	ES18	38.7	445
1.016.O.	HK620	38.4	224
1.016.O.	Sf6	38.4	224
1.016.O.	APSE-1	35.4	263
1.016.O.	1.013.O.	29.7	397
1.016.O.	1.214.O.	29.7	397
1.016.O.	phiFlu	37.6	189
1.016.O.	1.239.O.	29.7	300
1.016.O.	1.149.O.	27.1	339
1.016.O.	1.273.O.	27.1	339
1.016.O.	1.144.O.	31.8	220
1.012.O.	1.160.O.	100.0	581
1.012.O.	1.118.B.	100.0	581
1.012.O.	1.237.B.	100.0	581
1.012.O.	1.237.A.	100.0	581
1.012.O.	1.089.O.	100.0	581
1.012.O.	1.012.O.	100.0	581
1.012.O.	1.118.A.	100.0	581
1.012.O.	1.098.O.	100.0	581
1.012.O.	1.103.O.	91.7	581
1.012.O.	1.032.O.	91.7	581
1.012.O.	1.104.O.	82.2	578
1.012.O.	1.023.O.	81.5	578
1.012.O.	1.251.O.	81.1	578
1.012.O.	1.022.O.	80.4	578
1.012.O.	1.046.O.	59.9	579
